text,label
Quels sont les droits des salariés en période de préavis ?,demander_droits_preavis
Comment fonctionne le licenciement pour faute simple ?,demander_licenciement_faute_simple
Quelle est la procédure de validation des contrats d'apprentissage ?,demander_validation_contrat_apprentissage
Comment le salaire est-il versé en cas de maladie professionnelle ?,demander_salaire_maladie_professionnelle
Quels sont les droits des salariés en cas de mutation professionnelle ?,demander_droits_mutation_professionnelle
Quelles sont les règles concernant le harcèlement moral au travail ?,demander_regles_harcelement_moral
Que prévoit la loi sur les travailleurs intérimaires ?,demander_regles_travailleur_interimaire
Quels sont les droits des travailleurs agricoles selon le Code du Travail ?,demander_droits_travailleur_agricole
Comment sont définies les heures de travail pour les travailleurs saisonniers ?,demander_heures_travail_travailleur_saisonnier
Comment un apprenti peut-il mettre fin à son contrat ?,demander_fin_contrat_apprentissage
Quelles sont les indemnités en cas de rupture abusive du contrat ?,demander_indemnites_rupture_abusive
Quels sont les droits des travailleurs en cas de fermeture définitive d'une entreprise ?,demander_droits_fermeture_definitive
Comment est réglementée la rémunération des jours fériés ?,demander_regles_remuneration_jours_feries
Quels sont les critères pour déterminer la pénibilité du travail ?,demander_criteres_penibilite_travail
Comment le Code du Travail protège-t-il contre les discriminations syndicales ?,demander_protection_discrimination_syndicale
Quelles sont les règles pour le versement des primes ?,demander_regles_versement_primes
Comment est fixé le montant du salaire minimum ?,demander_fixe_salaire_minimum
Que prévoit la loi sur les délégués syndicaux ?,demander_regles_delegues_syndicaux
Quels sont les recours pour un apprenti en cas de litige ?,demander_recours_apprenti_litige
Comment sont encadrés les contrats de travail à temps partiel ?,demander_encadrement_contrat_temps_partiel
Quels sont les droits des travailleurs en période de probation ?,demander_droits_periode_probation
Comment fonctionne la gestion des congés sans solde ?,demander_gestion_conge_sans_solde
Quelles sont les règles concernant le paiement des heures d'astreinte ?,demander_regles_paiement_heures_astreinte
Comment un travailleur peut-il demander une augmentation de salaire ?,demander_demande_augmentation_salaire
Quels sont les droits des salariés en période de réduction d'activité ?,demander_droits_reduction_activite
Quelles sont les procédures de recours pour un licenciement collectif ?,demander_recours_licenciement_collectif
Comment la loi encadre-t-elle les sanctions disciplinaires ?,demander_encadrement_sanctions_disciplinaires
Quels sont les droits des travailleurs en cas de changement d'affectation ?,demander_droits_changement_affectation
Que dit la loi sur la formation professionnelle continue ?,demander_formation_professionnelle_continue
Quels sont les droits des salariés en congé parental ?,demander_droits_conge_parental
Comment est déterminée la durée maximale du travail quotidien ?,demander_duree_maximale_travail_quotidien
Quels sont les droits des travailleurs lors d'une restructuration d'entreprise ?,demander_droits_restructuration_entreprise
Comment est réglementée la durée des pauses durant le travail ?,demander_reglementation_pauses_travail
Que dit le Code du Travail sur le travail des femmes enceintes ?,demander_regles_travail_femmes_enceintes
Comment fonctionne la rupture conventionnelle d'un contrat de travail ?,demander_rupture_conventionnelle
Quelles sont les obligations de l'employeur en cas de grève ?,demander_obligations_employeur_greve
Quels sont les droits des travailleurs en cas de licenciement pour motif personnel ?,demander_droits_licenciement_motif_personnel
Que dit la loi sur la discrimination raciale au travail ?,demander_lois_discrimination_raciale
Quels sont les droits des salariés en congé de formation ?,demander_droits_conge_formation
Comment est calculée l'indemnité pour travail de nuit ?,demander_calcul_indemnite_travail_nuit
Quels sont les critères pour déterminer le statut d'un cadre ?,demander_criteres_statut_cadre
Comment la loi protège-t-elle les lanceurs d'alerte au travail ?,demander_protection_lanceur_alerte
Quelles sont les règles concernant les congés pour événements familiaux ?,demander_regles_conge_evenements_familiaux
Comment est encadré le travail des travailleurs indépendants ?,demander_encadrement_travailleur_independant
Quels sont les droits des salariés en cas de transfert d'entreprise ?,demander_droits_transfert_entreprise
Quelles sont les obligations de l'employeur en matière d'équipement de protection ?,demander_obligations_equipement_protection
Comment fonctionne la période de renouvellement d’un contrat de stage ?,demander_periode_renouvellement_stage
Quels sont les droits des travailleurs en cas de conflit avec un supérieur hiérarchique ?,demander_droits_conflit_superieur
Que dit la loi sur les congés pour maladie non professionnelle ?,demander_conge_maladie_non_professionnelle
Quels sont les droits des salariés en cas de congé sabbatique ?,demander_droits_conge_sabbatique
Quelles sont les procédures pour déclarer un accident de travail ?,demander_procedures_declaration_accident_travail
Que prévoit le Code du Travail sur les discriminations basées sur le genre ?,demander_discriminations_genre
Quels sont les recours pour un travailleur en cas de non-paiement de salaire ?,demander_recours_non_paiement_salaire
Comment fonctionne la réduction du temps de travail en cas de chômage partiel ?,demander_reduction_temps_travail_chomage_partiel
Que dit la loi sur le harcèlement sexuel au travail ?,demander_harcelement_sexuel_travail
Comment est encadrée la protection des données personnelles des salariés ?,demander_protection_donnees_personnelles
Quels sont les droits des travailleurs en cas de démission ?,demander_droits_demission
Que dit le Code du Travail sur la rémunération des jours de congé maladie ?,demander_remuneration_conge_maladie
Comment est réglementée la mobilité professionnelle des salariés ?,demander_reglementation_mobilite_professionnelle
Quels sont les droits des travailleurs à temps plein ?,demander_droits_travailleur_temps_plein
Que prévoit la loi sur le droit à la déconnexion ?,demander_droit_deconnexion
Quels sont les droits des travailleurs en cas de licenciement pour faute grave ?,demander_droits_licenciement_faute_grave
Quelles sont les obligations de l'employeur en cas de travail en hauteur ?,demander_obligations_travail_hauteur
Comment fonctionne la retraite anticipée selon le Code du Travail ?,demander_fonctionnement_retraite_anticipee
Quelles sont les procédures pour obtenir un congé pour convenance personnelle ?,demander_procedures_conge_convenance_personnelle
Quels sont les droits des travailleurs en cas de travail de nuit prolongé ?,demander_droits_travail_nuit_prolonge
Comment la loi encadre-t-elle les conditions de travail des mineurs ?,demander_conditions_travail_mineurs
Quelles sont les obligations des entreprises en matière d'égalité professionnelle ?,demander_obligations_egalite_professionnelle
Comment est fixée la période d’essai pour un CDI ?,demander_fixe_periode_essai_cdi
Que dit la loi sur la rupture de contrat pendant un congé parental ?,demander_rupture_contrat_conge_parental
Quels sont les critères pour déterminer une faute lourde au travail ?,demander_criteres_faute_lourde
Comment fonctionne la mise à pied disciplinaire selon le Code du Travail ?,demander_mise_a_pied_disciplinaire
Quelles sont les règles pour obtenir un congé pour déménagement ?,demander_regles_conge_demenagement
Comment est défini le travail temporaire selon le Code du Travail ?,demander_definition_travail_temporaire
Quels sont les droits des travailleurs en cas de licenciement abusif ?,demander_droits_licenciement_abusif
Que dit la loi sur les allocations familiales pour les travailleurs ?,demander_allocations_familiales_travailleurs
Comment les travailleurs peuvent-ils bénéficier d'une formation interne ?,demander_benefice_formation_interne
Quels sont les recours possibles en cas de licenciement pour insuffisance professionnelle ?,demander_recours_licenciement_insuffisance_professionnelle
Comment est réglementé le travail des jeunes de moins de 18 ans ?,demander_reglementation_travail_jeunes
"Quelles sont les obligations de l'employeur en cas
",